moviename,release_date,budget,crore conversion,Currency conversion,year,cleaned_budget,cleaned_release_date,cleaned_budget_2,final_budget
Blockers,"
March 10, 2018 (2018-03-10) (SXSW)
April 6, 2018 (2018-04-06) (United States)
",$21 million,1,1,2018,21000000,4/6/2018,21000000,21000000
BlacKkKlansman,"
May 14, 2018 (2018-05-14) (Cannes)
August 10, 2018 (2018-08-10) (United States)
",$15 million,1,1,2018,15000000,8/10/2018,15000000,15000000
Goosebumps 2: Haunted Halloween,"
October 8, 2018 (2018-10-08) (Culver City)[4]
October 12, 2018 (2018-10-12) (United States)
",$35 million,1,1,2018,35000000,10/12/2018,35000000,35000000
Sherlock Gnomes,"
March 23, 2018 (2018-03-23) (United States)
May 11, 2018 (2018-05-11) (United Kingdom)
",$59 million,1,1,2018,59000000,5/11/2018,59000000,59000000
I Can Only Imagine,"
March 16, 2018 (2018-03-16)
",$7 million,1,1,2018,7000000,3/16/2018,7000000,7000000
Mortal Engines,"
November 27, 2018 (2018-11-27) (London)
December 6, 2018 (2018-12-06) (New Zealand)
December 14, 2018 (2018-12-14) (United States)
",$100–150 million,1,1,2018,150000000,12/14/2018,150000000,150000000
Den of Thieves,"
January 19, 2018 (2018-01-19)
",$30 million,1,1,2018,30000000,1/19/2018,30000000,30000000
Hereditary,"
January 21, 2018 (2018-01-21) (Sundance)
June 8, 2018 (2018-06-08) (United States)
",$10 million,1,1,2018,10000000,6/8/2018,10000000,10000000
Tag,"
June 15, 2018 (2018-06-15) (United States)
",$28 million,1,1,2018,28000000,6/15/2018,28000000,28000000
Vice,"
December 11, 2018 (2018-12-11) (Samuel Goldwyn Theater)
December 25, 2018 (2018-12-25) (United States)
",$60 million,1,1,2018,60000000,12/25/2018,60000000,60000000
Widows,"
September 8, 2018 (2018-09-08) (TIFF)
November 6, 2018 (2018-11-06) (United Kingdom)
November 16, 2018 (2018-11-16) (United States)
",$42 million,1,1,2018,42000000,11/16/2018,42000000,42000000
Sicario: Day of the Soldado,"
June 11, 2018 (2018-06-11) (Antara Polanco)
June 29, 2018 (2018-06-29) (United States)
",$35–45 million,1,1,2018,45000000,6/29/2018,45000000,45000000
Searching,"
January 21, 2018 (2018-01-21) (Sundance)
August 31, 2018 (2018-08-31) (United States)
","$880,000",1,1,2018,880000,8/31/2018,880000,880000
The Spy Who Dumped Me,"
August 3, 2018 (2018-08-03) (United States)
",$40 million,1,1,2018,40000000,8/3/2018,40000000,40000000
Second Act,"
December 21, 2018 (2018-12-21) (United States)
",$16 million,1,1,2018,16000000,12/21/2018,16000000,16000000
12 Strong,"
January 16, 2018 (2018-01-16) (Jazz at Lincoln Center)
January 19, 2018 (2018-01-19) (United States)
",$35 million,1,1,2018,35000000,1/19/2018,35000000,35000000
"Love, Simon","
February 27, 2018 (2018-02-27) (Mardi Gras Film Festival)
March 16, 2018 (2018-03-16) (United States)
",$10–17 million,1,1,2018,17000000,3/16/2018,17000000,17000000
Mile 22,"
August 17, 2018 (2018-08-17) (United States)
",$35–60 million,1,1,2018,60000000,8/17/2018,60000000,60000000
Life of the Party,"
May 11, 2018 (2018-05-11)
",$30 million,1,1,2018,30000000,5/11/2018,30000000,30000000
L Storm,"
23 August 2018 (2018-08-23)
",US$5-10 million,1,1,2018,10000000,8/23/2018,10000000,10000000
Capernaum,"
17 May 2018 (2018-05-17) (Cannes)
20 September 2018 (2018-09-20) (Lebanon)
",$4 million,1,1,2018,4000000,9/20/2018,4000000,4000000
Andhadhun,"
5 October 2018 (2018-10-05) (India)
",₹32 crore,10000000,0.013,2018,32,10/5/2018,32,4160000
Adrift,"
June 1, 2018 (2018-06-01) (United States)
",$35 million,1,1,2018,35000000,6/1/2018,35000000,35000000
The 15:17 to Paris,"
February 9, 2018 (2018-02-09) (United States)
",$30 million,1,1,2018,30000000,2/9/2018,30000000,30000000
Early Man,"
20 January 2018 (2018-01-20) (BFI Southbank)
26 January 2018 (2018-01-26) (United Kingdom)
",$50 million,1,1,2018,50000000,1/26/2018,50000000,50000000
Peppermint,"
September 7, 2018 (2018-09-07)
",$22.8–25 million,1,1,2018,25000000,9/7/2018,25000000,25000000
Breaking In,"
May 11, 2018 (2018-05-11)
","$12 million
",1,1,2018,12000000,5/11/2018,12000000,12000000
Simmba,"
27 December 2018 (2018-12-27) (United Arab Emirates)
28 December 2018 (2018-12-28) (India)
",₹80 crore,10000000,0.013,2018,80,12/28/2018,80,10400000
Death Wish,"
March 2, 2018 (2018-03-02)
",$30 million,1,1,2018,30000000,3/2/2018,30000000,30000000
Mary Queen of Scots,"
15 November 2018 (2018-11-15) (AFI)
7 December 2018 (2018-12-07) (United States)
18 January 2019 (2019-01-18) (United Kingdom)
",$25 million,1,1,2018,25000000,1/18/2019,25000000,25000000
Uncle Drew,"
June 29, 2018 (2018-06-29) (United States)
",$18 million,1,1,2018,18000000,6/29/2018,18000000,18000000
Acrimony,"
March 30, 2018 (2018-03-30)
",$20 million,1,1,2018,20000000,3/30/2018,20000000,20000000
Winchester,"
February 2, 2018 (2018-02-02)
",$3.5 million,1,1,2018,5000000,2/2/2018,3500000,3500000
The Possession of Hannah Grace,"
November 30, 2018 (2018-11-30) (United States)
",$6–7.7 million,1,1,2018,7000000,11/30/2018,7700000,7700000
Overlord,"
September 22, 2018 (2018-09-22) (Fantastic Fest)
November 9, 2018 (2018-11-09) (United States)
",$38 million,1,1,2018,38000000,11/9/2018,38000000,38000000
The Darkest Minds,"
August 3, 2018 (2018-08-03)
",$34 million,1,1,2018,34000000,8/3/2018,34000000,34000000
Intimate Strangers,"
31 October 2018 (2018-10-31)
",₩5.8 billion,1,0.0008,2018,800000000,10/31/2018,580000000,464000
Thugs of Hindostan,"
8 November 2018 (2018-11-08)
",₹300 crore,10000000,0.013,2018,300,11/8/2018,300,39000000
Sink or Swim,"
13 May 2018 (2018-05-13) (Cannes)
24 October 2018 (2018-10-24) (France)
",$21.8 million,1,1,2018,8000000,10/24/2018,21800000,21800000
Show Dogs,"
May 18, 2018 (2018-05-18) (United States)
",$5.5 million,1,1,2018,5000000,5/18/2018,5500000,5500000
The Spy Gone North,"
May 11, 2018 (2018-05-11) (Cannes)
August 8, 2018 (2018-08-08) (South Korea)
",US$14 million,1,1,2018,14000000,8/8/2018,14000000,14000000
On the Basis of Sex,"
November 8, 2018 (2018-11-08) (AFI Fest)
December 25, 2018 (2018-12-25) (United States)
",$20 million,1,1,2018,20000000,12/25/2018,20000000,20000000
Mia and the White Lion,"
26 December 2018 (2018-12-26) (France)
1 February 2019 (2019-02-01) (Germany)
12 April 2019 (2019-04-12) (United States)
",€8.7 million,1,1.08,2018,7000000,4/12/2019,8700000,9396000
The Girl in the Spider's Web,"
October 24, 2018 (2018-10-24) (Rome)
October 26, 2018 (2018-10-26) (Sweden)
November 9, 2018 (2018-11-09) (United States and Canada)
November 21, 2018 (2018-11-21) (United Kingdom)
November 22, 2018 (2018-11-22) (Germany)
",$43 million,1,1,2018,43000000,11/22/2018,43000000,43000000
The Hate U Give,"
September 7, 2018 (2018-09-07) (TIFF)
October 5, 2018 (2018-10-05) (United States)
",$23 million,1,1,2018,23000000,10/5/2018,23000000,23000000
Baaghi 2,"
30 March 2018 (2018-03-30)[1]
",₹59 crore[better source needed] (Note: figure contains print and advertising costs},10000000,0.013,2018,59,3/30/2018,59,7670000
The Hurricane Heist,"
March 9, 2018 (2018-03-09)
",$35–40 million,1,1,2018,40000000,3/9/2018,40000000,40000000
Bad Times at the El Royale,"
September 22, 2018 (2018-09-22) (TCL Chinese Theatre)
October 12, 2018 (2018-10-12) (United States)
",$32 million,1,1,2018,32000000,10/12/2018,32000000,32000000
Hunter Killer,"
October 26, 2018 (2018-10-26) (United States)
",$40 million,1,1,2018,40000000,10/26/2018,40000000,40000000
Super Troopers 2,"
April 20, 2018 (2018-04-20) (United States)
",$13.5 million,1,1,2018,5000000,4/20/2018,13500000,13500000
The Strangers: Prey at Night,"
March 9, 2018 (2018-03-09) (United States)
",$5 million,1,1,2018,5000000,3/9/2018,5000000,5000000
Dark Figure of Crime,"
October 3, 2018 (2018-10-03)
",₩8 billion,1,0.0008,2018,800000000,10/3/2018,800000000,640000
Pad Man,"
9 February 2018 (2018-02-09) (India & Russia)[1][2][3]
",₹76 crore,10000000,0.013,2018,76,2/9/2018,76,9880000
One Cut of the Dead,"
4 November 2017 (2017-11-04) (Japan)
","¥3 million ($25,000)",1,1,2018,25000000000,11/4/2017,25000000000,25000000000
The Happytime Murders,"
August 24, 2018 (2018-08-24) (United States)
",$40–47 million,1,1,2018,47000000,8/24/2018,47000000,47000000
Midnight Sun,"
March 23, 2018 (2018-03-23)
",$2.8 million,1,1,2018,8000000,3/23/2018,2800000,2800000
Hichki,"
23 March 2018 (2018-03-23)
",₹200 million,1,0.013,2018,200000000,3/23/2018,200000000,2600000
White Boy Rick,"
August 31, 2018 (2018-08-31) (Telluride)
September 14, 2018 (2018-09-14) (United States)
",$29 million,1,1,2018,29000000,9/14/2018,29000000,29000000
"Paul, Apostle of Christ","
March 23, 2018 (2018-03-23)
",$5 million,1,1,2018,5000000,3/23/2018,5000000,5000000
The Witch: Part 1 - The Subversion,"
June 27, 2018 (2018-06-27)
",US$5.5 million,1,1,2018,5000000,6/27/2018,5500000,5500000
Padmaavat,"
25 January 2018 (2018-01-25)[2]
","
₹215 crore (US$28 million)[a]
",1,1,2018,28000000,1/25/2018,28000000,28000000
Avengers: Endgame,"
April 22, 2019 (2019-04-22) (Los Angeles Convention Center)
April 26, 2019 (2019-04-26) (United States)
",$356–400 million,1,1,2019,400000000,4/26/2019,400000000,400000000
Frozen II,"
November 7, 2019 (2019-11-07) (Dolby Theatre)
November 22, 2019 (2019-11-22) (United States)
",$150 million,1,1,2019,150000000,11/22/2019,150000000,150000000
Jumanji: The Next Level,"
December 13, 2019 (2019-12-13)
",$125–132 million,1,1,2019,132000000,12/13/2019,132000000,132000000
Ne Zha,"
11 July 2019 (2019-07-11) (Beijing)[5]
13 July 2019 (2019-07-13) (IMAX, CFGS)[3][6]
26 July 2019 (2019-07-26)[3]
",$20 million,1,1,2019,20000000,7/26/2019,20000000,20000000
The Wandering Earth,"
5 February 2019 (2019-02-05)
 (China)",$50 million,1,1,2019,50000000,2/5/2019,50000000,50000000
Maleficent: Mistress of Evil,"
October 18, 2019 (2019-10-18)[2]
",$185 million,1,1,2019,185000000,10/18/2019,185000000,185000000
It Chapter Two,"
August 26, 2019 (2019-08-26) (Los Angeles)
September 6, 2019 (2019-09-06) (North America)
",$79 million,1,1,2019,79000000,9/6/2019,79000000,79000000
The Secret Life of Pets 2,"
May 24, 2019 (2019-05-24) (United Kingdom)
June 7, 2019 (2019-06-07) (United States)
",$80 million,1,1,2019,80000000,6/7/2019,80000000,80000000
Alita: Battle Angel,"
January 31, 2019 (2019-01-31) (Odeon Leicester Square, London)
February 14, 2019 (2019-02-14) (United States)
",$150–200 million,1,1,2019,200000000,2/14/2019,200000000,200000000
Godzilla: King of the Monsters,"
May 13, 2019 (2019-05-13) (Beijing)
May 31, 2019 (2019-05-31) (United States)
",$170–200 million[a],1,1,2019,200000000,5/31/2019,200000000,200000000
1917,"
4 December 2019 (2019-12-04) (London)
25 December 2019 (2019-12-25) (United States)
10 January 2020 (2020-01-10) (United Kingdom)
",$90-100 million,1,1,2019,100000000,1/10/2020,100000000,100000000
Shazam!,"
March 28, 2019 (2019-03-28) (TCL Chinese Theater)
April 5, 2019 (2019-04-05) (United States and Canada)
",$80–100 million,1,1,2019,100000000,4/5/2019,100000000,100000000
John Wick: Chapter 3 - Parabellum,"
May 9, 2019 (2019-05-09) (Brooklyn)
May 17, 2019 (2019-05-17) (United States)
",$75 million,1,1,2019,75000000,5/17/2019,75000000,75000000
Knives Out,"
September 7, 2019 (2019-09-07) (TIFF)
November 27, 2019 (2019-11-27) (United States)
",$40 million,1,1,2019,40000000,11/27/2019,40000000,40000000
Terminator: Dark Fate,"
October 23, 2019 (2019-10-23) (Europe)
November 1, 2019 (2019-11-01) (United States)
",$185–196 million,1,1,2019,196000000,11/1/2019,196000000,196000000
Parasite,"
21 May 2019 (2019-05-21) (Cannes)
30 May 2019 (2019-05-30) (South Korea)
",₩17.0 billion(~$15.5 million),1,1,2019,5000000,5/30/2019,15500000,15500000
Men in Black: International,"
June 11, 2019 (2019-06-11) (New York City)
June 14, 2019 (2019-06-14) (United States)
",$94–110 million,1,1,2019,110000000,6/14/2019,110000000,110000000
X-Men: Dark Phoenix,"
June 4, 2019 (2019-06-04) (TCL Chinese Theatre)
June 7, 2019 (2019-06-07) (United States)
",$200 million,1,1,2019,200000000,6/7/2019,200000000,200000000
Annabelle Comes Home,"
June 26, 2019 (2019-06-26)
",$27–$32 million,1,1,2019,32000000,6/26/2019,32000000,32000000
Ford v Ferrari,"
August 30, 2019 (2019-08-30) (Telluride)
November 15, 2019 (2019-11-15) (United States)
",$97.6 million,1,1,2019,6000000,11/15/2019,97600000,97600000
Little Women,"
December 7, 2019 (2019-12-07) (MoMA)
December 25, 2019 (2019-12-25) (United States)
",$40 million,1,1,2019,40000000,12/25/2019,40000000,40000000
Rocketman,"
16 May 2019 (2019-05-16) (Cannes)
22 May 2019 (2019-05-22) (United Kingdom)
31 May 2019 (2019-05-31) (United States)
",$40 million,1,1,2019,40000000,5/31/2019,40000000,40000000
Downton Abbey,"
9 September 2019 (2019-09-09) (Leicester Square)
13 September 2019 (2019-09-13) (United Kingdom)
20 September 2019 (2019-09-20) (United States)
",$13–20 million,1,1,2019,20000000,9/20/2019,20000000,20000000
The White Storm 2: Drug Lords,"
5 July 2019 (2019-07-05) (China)
16 July 2019 (2019-07-16) (Hong Kong)
",US$25 million,1,1,2019,25000000,7/16/2019,25000000,25000000
Abominable,"
September 7, 2019 (2019-09-07) (TIFF)[6]
September 27, 2019 (2019-09-27) (United States)
",$75 million,1,1,2019,75000000,9/27/2019,75000000,75000000
Ip Man 4: The Finale,"
20 December 2019 (2019-12-20)
",$52 million,1,1,2019,52000000,12/20/2019,52000000,52000000
Gemini Man,"
October 1, 2019 (2019-10-01) (ZFF)
October 11, 2019 (2019-10-11) (United States)
",$138 million,1,1,2019,138000000,10/11/2019,138000000,138000000
Spies in Disguise,"
December 4, 2019 (2019-12-04) (El Capitan Theatre)
December 25, 2019 (2019-12-25) (United States)
",$100 million,1,1,2019,100000000,12/25/2019,100000000,100000000
Hustlers,"
September 7, 2019 (2019-09-07) (TIFF)
September 13, 2019 (2019-09-13) (United States)
",$20.7 million,1,1,2019,7000000,9/13/2019,20700000,20700000
Escape Room,"
January 4, 2019 (2019-01-04) (United States)
",$9 million,1,1,2021,9000000,1/4/2019,9000000,9000000
Yesterday,"
4 May 2019 (2019-05-04) (Tribeca)
28 June 2019 (2019-06-28) (United Kingdom & United States)
",$26–41.3 million,1,1,2021,3000000,6/28/2019,41300000,41300000
The Angry Birds Movie 2,"
August 1, 2019 (2019-08-01) (United Kingdom and Ireland)
August 7, 2019 (2019-08-07) (Finland)
August 14, 2019 (2019-08-14) (United States)
",$65 million,1,1,2019,65000000,8/14/2019,65000000,65000000
Angel Has Fallen,"
August 23, 2019 (2019-08-23) (United States)
",$40 million,1,1,2019,40000000,8/23/2019,40000000,40000000
Ad Astra,"
August 29, 2019 (2019-08-29) (Venice)
September 20, 2019 (2019-09-20) (United States)
",$80–100 million,1,1,2019,100000000,9/20/2019,100000000,100000000
Midway,"
November 8, 2019 (2019-11-08) (United States)
",$100 million,1,1,2019,100000000,11/8/2019,100000000,100000000
The Upside,"
September 8, 2017 (2017-09-08) (TIFF)
January 11, 2019 (2019-01-11) (United States)
",$37.5 million,1,1,2019,5000000,1/11/2019,37500000,37500000
The Curse of La Llorona,"
March 15, 2019 (2019-03-15) (SXSW)
April 19, 2019 (2019-04-19) (United States)
",$9 million,1,1,2019,9000000,4/19/2019,9000000,9000000
Last Christmas,"
8 November 2019 (2019-11-08) (United States)
15 November 2019 (2019-11-15) (United Kingdom)
",$25–30 million,1,1,2019,30000000,11/15/2019,30000000,30000000
Dora and the Lost City of Gold,"
August 9, 2019 (2019-08-09) (United States)
",$49 million,1,1,2019,49000000,8/9/2019,49000000,49000000
Wonder Park,"
March 15, 2019 (2019-03-15) (United States)
April 12, 2019 (2019-04-12) (Spain)
",$80–100 million,1,1,2019,100000000,4/12/2019,100000000,100000000
P Storm,4 April 2019 (2019-04-04),US$10-25 million,1,1,2019,25000000,4/4/2019,25000000,25000000
Pet Sematary,"
March 16, 2019 (2019-03-16) (SXSW)
April 5, 2019 (2019-04-05) (United States)
",$21 million,1,1,2019,21000000,4/5/2019,21000000,21000000
Good Boys,"
March 11, 2019 (2019-03-11) (SXSW)
August 14, 2019 (2019-08-14) (United States)
",$20 million,1,1,2019,20000000,8/14/2019,20000000,20000000
Scary Stories to Tell in the Dark,"
August 9, 2019 (2019-08-09) (United States)
",$25–28 million,1,1,2019,28000000,8/9/2019,28000000,28000000
The New King of Comedy,"
5 February 2019 (2019-02-05) (China)
",$8 million (50 million RMB),1,1,2019,50000000,2/5/2019,50000000,50000000
The Hustle,"
May 10, 2019 (2019-05-10) (United States)
",$21 million,1,1,2019,21000000,5/10/2019,21000000,21000000
Crawl,"
July 12, 2019 (2019-07-12)
",$13–15 million,1,1,2019,15000000,7/12/2019,15000000,15000000
Five Feet Apart,"
March 15, 2019 (2019-03-15)
",$7 million,1,1,2019,7000000,3/15/2019,7000000,7000000
Rambo: Last Blood,"
September 20, 2019 (2019-09-20) (United States)
",$50 million,1,1,2019,50000000,9/20/2019,50000000,50000000
Jojo Rabbit,"
September 8, 2019 (2019-09-08) (TIFF)
October 18, 2019 (2019-10-18) (United States)
October 24, 2019 (2019-10-24) (New Zealand)
",$14 million,1,1,2019,14000000,10/24/2019,14000000,14000000
A Dog's Way Home,"
January 11, 2019 (2019-01-11) (United States)
",$18 million,1,1,2019,18000000,1/11/2019,18000000,18000000
Cold Pursuit,"
February 8, 2019 (2019-02-08) (United States)
",$60 million,1,1,2019,60000000,2/8/2019,60000000,60000000
A Dog's Journey,"
May 17, 2019 (2019-05-17) (United States)
",$16 million,1,1,2019,16000000,5/17/2019,16000000,16000000
Charlie's Angels,"
November 14, 2019 (2019-11-14) (Australia)
November 15, 2019 (2019-11-15) (United States)
",$48–55 million,1,1,2019,55000000,11/15/2019,55000000,55000000
Doctor Sleep,"
October 21, 2019 (2019-10-21) (Regency Village Theater)
November 8, 2019 (2019-11-08) (United States)
",$45–55 million,1,1,2019,55000000,11/8/2019,55000000,55000000
What Men Want,"
February 8, 2019 (2019-02-08) (United States)
",$20 million,1,1,2019,20000000,2/8/2019,20000000,20000000
Playing with Fire,"
November 8, 2019 (2019-11-08)
",$29.9 million,1,1,2019,9000000,11/8/2019,29900000,29900000
A Beautiful Day in the Neighborhood,"
September 7, 2019 (2019-09-07) (TIFF)
November 22, 2019 (2019-11-22) (United States)
",$25 million,1,1,2019,25000000,11/22/2019,25000000,25000000
Happy Death Day 2U,"
February 13, 2019 (2019-02-13) (United States)
",$9 million,1,1,2019,9000000,2/13/2019,9000000,9000000
Bombshell,"
December 13, 2019 (2019-12-13) (United States)
January 17, 2020 (2020-01-17) (United Kingdom)
",$32 million,1,1,2019,32000000,1/17/2020,32000000,32000000
Ashfall,"
19 December 2019 (2019-12-19) (South Korea)
",US$17.7 million,1,1,2019,7000000,12/19/2019,17700000,17700000
My Best Summer,"
June 20, 1997 (1997-06-20)
",$38 million,1,1,2019,38000000,6/20/1997,38000000,38000000
Ready or Not,"
July 27, 2019 (2019-07-27) (Fantasia)
August 21, 2019 (2019-08-21) (United States)
",$6 million,1,1,2019,6000000,8/21/2019,6000000,6000000
Hellboy,"
April 9, 2019 (2019-04-09) (New York City)
April 12, 2019 (2019-04-12) (United States)
",$50 million,1,1,2019,50000000,4/12/2019,50000000,50000000
Long Shot,"
March 9, 2019 (2019-03-09) (SXSW)
May 3, 2019 (2019-05-03) (United States)
",$40 million,1,1,2019,40000000,5/3/2019,40000000,40000000
Breakthrough,"
March 20, 2019 (2019-03-20) (St. Louis)
April 17, 2019 (2019-04-17) (United States)
",$14 million,1,1,2019,14000000,4/17/2019,14000000,14000000
Just Mercy,"
September 6, 2019 (2019-09-06) (TIFF)
December 25, 2019 (2019-12-25) (United States)
",$25 million,1,1,2019,25000000,12/25/2019,25000000,25000000
Uncut Gems,"
August 30, 2019 (2019-08-30) (Telluride)
December 13, 2019 (2019-12-13) (United States)
",$19 million,1,1,2019,19000000,12/13/2019,19000000,19000000
21 Bridges,"
November 22, 2019 (2019-11-22) (United States)
",$33 million,1,1,2019,33000000,11/22/2019,33000000,33000000
The Grudge,"
January 3, 2020 (2020-01-03)
",$10–14 million,1,1,2019,14000000,1/3/2020,14000000,14000000
Isn't It Romantic,"
February 13, 2019 (2019-02-13) (United States)
",$31 million,1,1,2019,31000000,2/13/2019,31000000,31000000
Countdown,"
October 25, 2019 (2019-10-25) (United States)
",$6.5 million,1,1,2019,5000000,10/25/2019,6500000,6500000
47 Meters Down: Uncaged,"
August 16, 2019 (2019-08-16)
",$12 million,1,1,2019,12000000,8/16/2019,12000000,12000000
Judy,"
30 August 2019 (2019-08-30) (Telluride)
27 September 2019 (2019-09-27) (United States)
2 October 2019 (2019-10-02) (United Kingdom)
",$10 million,1,1,2019,10000000,10/2/2019,10000000,10000000
Child's Play,"
June 21, 2019 (2019-06-21) (United States)
",$10 million,1,1,2019,10000000,6/21/2019,10000000,10000000
Richard Jewell,"
November 20, 2019 (2019-11-20) (AFI Fest)
December 13, 2019 (2019-12-13) (United States)
",$45 million,1,1,2019,45000000,12/13/2019,45000000,45000000
Harriet,"
September 10, 2019 (2019-09-10) (TIFF)
November 1, 2019 (2019-11-01) (United States)
",$17 million,1,1,2019,17000000,11/1/2019,17000000,17000000
Fighting with My Family,"
28 January 2019 (2019-01-28) (Sundance)
14 February 2019 (2019-02-14) (United States)
27 February 2019 (2019-02-27) (United Kingdom)
",$11 million,1,1,2019,11000000,2/27/2019,11000000,11000000
Uri: The Surgical Strike,"
11 January 2019 (2019-01-11)[1]
",₹25 crore,10000000,0.013,2019,25,1/11/2019,25,3250000
Overcomer,"
August 23, 2019 (2019-08-23) (United States)
",$5 million,1,1,2019,5000000,8/23/2019,5000000,5000000
The Intruder,"
May 3, 2019 (2019-05-03) (United States)
",$8 million,1,1,2019,8000000,5/3/2019,8000000,8000000
The Queen's Corgi,"
16 January 2019 (2019-01-16) (L'Alpe d'Huez)
3 April 2019 (2019-04-03) (Belgium)
",$20 million,1,1,2019,20000000,4/3/2019,20000000,20000000
The Good Liar,"
October 28, 2019 (2019-10-28) (BFI Southbank)
November 8, 2019 (2019-11-08) (United Kingdom)
November 15, 2019 (2019-11-15) (United States)
",$10 million,1,1,2019,10000000,11/15/2019,10000000,10000000
The Art of Racing in the Rain,"
August 9, 2019 (2019-08-09) (United States)
",$18 million,1,1,2019,18000000,8/9/2019,18000000,18000000
Brightburn,"
May 24, 2019 (2019-05-24) (United States)
",$6–12 million,1,1,2019,12000000,5/24/2019,12000000,12000000
UglyDolls,"
May 3, 2019 (2019-05-03) (United States)
",$45–53 million,1,1,2019,53000000,5/3/2019,53000000,53000000
Stuber,"
March 13, 2019 (2019-03-13) (SXSW)
July 12, 2019 (2019-07-12) (United States)
",$16 million,1,1,2019,16000000,7/12/2019,16000000,16000000
The Kid Who Would Be King,"
25 January 2019 (2019-01-25) (United States)
15 February 2019 (2019-02-15) (United Kingdom)
",$59 million,1,1,2019,59000000,2/15/2019,59000000,59000000
Anna,"
21 June 2019 (2019-06-21) (US)
10 July 2019 (2019-07-10) (France)
",$30 million,1,1,2019,30000000,7/10/2019,30000000,30000000
Missing Link,"
April 5, 2019 (2019-04-05) (United Kingdom)
April 7, 2019 (2019-04-07) (New York City)
April 12, 2019 (2019-04-12) (United States)
",$102.3 million,1,1,2019,3000000,4/12/2019,102300000,102300000
Booksmart,"
March 10, 2019 (2019-03-10) (SXSW)
May 24, 2019 (2019-05-24) (United States)
",$6 million,1,1,2019,6000000,5/24/2019,6000000,6000000
Super 30,"
12 July 2019 (2019-07-12)
",₹60 crore,10000000,0.013,2019,60,7/12/2019,60,7800000
Start-Up,"
December 18, 2019 (2019-12-18)
",₩9 billion(~US$7.3 million),1,1,2019,3000000,12/18/2019,7300000,7300000
Pinocchio,"
19 December 2019 (2019-12-19) (Italy)
",€11 million($13.2 million),1,1,2019,2000000,12/19/2019,13200000,13200000
A Rainy Day in New York,"
July 26, 2019 (2019-07-26) (Poland)
October 9, 2020 (2020-10-09) (United States)
",$25 million,1,1,2019,25000000,10/9/2020,25000000,25000000
The Peanut Butter Falcon,"
March 9, 2019 (2019-03-09) (SXSW)
August 9, 2019 (2019-08-09) (United States)
",$6.2 million,1,1,2019,2000000,8/9/2019,6200000,6200000
Little White Lies 2,"
11 September 2010 (2010-09-11) (TIFF)
20 October 2010 (2010-10-20) (France)
",$17.6 million,1,1,2019,6000000,10/20/2010,17600000,17600000
The Farewell,"
January 25, 2019 (2019-01-25) (Sundance)
July 12, 2019 (2019-07-12) (United States)
",$3 million,1,1,2019,3000000,7/12/2019,3000000,3000000
Black and Blue,"
September 21, 2019 (2019-09-21) (Urbanworld)
October 25, 2019 (2019-10-25) (United States)
",$12 million,1,1,2019,12000000,10/25/2019,12000000,12000000
Shaft,"
June 14, 2019 (2019-06-14) (United States)[2]
",$30–35 million,1,1,2019,35000000,6/14/2019,35000000,35000000
Unplanned,"
March 29, 2019 (2019-03-29) (United States)
",$6 million,1,1,2019,6000000,3/29/2019,6000000,6000000
Hotel Mumbai,"
7 September 2018 (2018-09-07) (TIFF)
14 March 2019 (2019-03-14) (Australia)
22 March 2019 (2019-03-22) (United States)
29 November 2019 (2019-11-29) (India)
",$17.3 million (A$25 million),1,1,2019,25000000,11/29/2019,25000000,25000000
An Officer and a Spy,"
30 August 2019 (2019-08-30) (Venice)
13 November 2019 (2019-11-13) (France)
21 November 2019 (2019-11-21) (Italy)
",$24 million,1,1,2019,24000000,11/21/2019,24000000,24000000
The Eight Hundred,"
August 21, 2020 (2020-08-21)
",$80 million,1,1,2020,80000000,8/21/2020,80000000,80000000
Demon Slayer the Movie: Mugen Train,"
October 16, 2020 (2020-10-16) (Japan)
",$15.75 million,1,1,2020,75000000,10/16/2020,15750000,15750000
Bad Boys for Life,"
January 17, 2020 (2020-01-17)
",$90 million,1,1,2020,90000000,1/17/2020,90000000,90000000
Tenet,"
August 26, 2020 (2020-08-26) (United Kingdom)
September 3, 2020 (2020-09-03) (United States)
",$200 million,1,1,2020,200000000,9/3/2020,200000000,200000000
Dolittle,"
January 17, 2020 (2020-01-17) (United States)
",$175 million,1,1,2020,175000000,1/17/2020,175000000,175000000
Birds of Prey,"
January 25, 2020 (2020-01-25) (Mexico City)
February 7, 2020 (2020-02-07) (United States)
",$82–100 million,1,1,2020,100000000,2/7/2020,100000000,100000000
Shock Wave 2,"
24 December 2020 (2020-12-24) (China)
18 February 2021 (2021-02-18) (Hong Kong)
",US$40 million,1,1,2020,40000000,2/18/2021,40000000,40000000
Wonder Woman 1984,"
December 15, 2020 (2020-12-15) (DC FanDome)
December 25, 2020 (2020-12-25) (United States)
",$200 million,1,1,2020,200000000,12/25/2020,200000000,200000000
The Invisible Man,"
February 27, 2020 (2020-02-27) (Australia)
February 28, 2020 (2020-02-28) (United States)
",$7 million,1,1,2020,7000000,2/28/2020,7000000,7000000
Onward,"
February 21, 2020 (2020-02-21) (Berlinale)
March 6, 2020 (2020-03-06) (United States)
",$175–200 million,1,1,2020,200000000,3/6/2020,200000000,200000000
The Call of the Wild,"
February 21, 2020 (2020-02-21) (United States)
",$125–150 million,1,1,2020,150000000,2/21/2020,150000000,150000000
